No.,Name,Primary Pos,College,Primary Crew (start of season),NFL Experience (including year),Year
1,Scott Novak,SJ ,Phoenix,Leavy,1,2014
124,Carl Paganelli,U ,Michigan State,Torbert,15,2014
105,Dino Paganelli,BJ ,Aquinas,Steratore,9,2014
46,Perry Paganelli,BJ ,Hope,Parry,17,2014
132,John Parry,R ,Purdue,Parry,15,2014
17,Steve Patrick,BJ ,Jacksonville State,Blakeman,1,2014
15,Rick Patterson,SJ ,Wofford,Blakeman,19,2014
79,Kent Payne,HL ,Nebraska Wesleyan,Cheffers,11,2014
9,Mark Perlman ,LJ ,,Leavy,#N/A,2014
131,Mark Pellis,U ,Allegheny,Parry,1,2014
47,Tim Podraza,LJ ,Nebraska,Wrolstad,7,2014
109,Dyrol Prioleau,FJ ,Johnson C. Smith,McAulay,8,2014
30,Todd Prukop,BJ ,Cal State-Fullerton,Cheffers,6,2014
63,Jim Quirk,BJ ,Middlebury,Vinovich,5,2014
44,Jeff Rice,U ,Northwestern,Anderson,20,2014
67,Doug Rosenbaum,FJ ,Illinois Wesleyan,Allen,14,2014
129,Bill Schuster,U ,Alfred,Coleman,15,2014
45,Jeff Seeman,LJ ,Minnesota,Cheffers,13,2014
104,Dale Shaw,BJ ,Allegheny,Morelli,2,2014
90,Mike Spanier,LJ ,St. Cloud State,Coleman,16,2014
24,Tom Stabile,HL ,Slippery Rock,Boger,#N/A,2014
12,Greg Steed,BJ ,Howard,McAulay,12,2014
84,Mark Steinkerchner,LJ ,Akron,Torbert,21,2014
22,Steve Stelljes,HL ,Friends,Anderson,13,2014
68,Tom Stephan,LJ ,Pittsburg State,McAulay,16,2014
114,Gene Steratore,R ,Kent State,Steratore,12,2014
112,Tony Steratore,BJ ,California (PA),Boger,15,2014
102,Bruce Stritesky,U ,Embry-Riddle,Steratore,9,2014
100,Tom Symonette,LJ ,Florida,Allen,11,2014
62,Ronald Torbert,R ,Michigan State,Torbert,5,2014
42,Jeff Triplette,R ,Wake Forest,Triplette,19,2014
13,Patrick Turner,HL ,Cal State-Long Beach,Hochuli,1,2014
75,Rob Vernatchi,SJ ,California-Riverside,Morelli,11,2014
36,Tony Veteri,HL ,Manhattan,Blakeman,23,2014
52,Bill Vinovich,R ,San Diego,Vinovich,10,2014
25,Bob Waggoner,FJ ,Juniata,Steratore,18,2014
123,Ed Walker,LJ ,San Jose State,Boger,1,2014
96,Undrey Wash,U ,Texas-Arlington,Cheffers,15,2014
7,Keith Washington,SJ ,Virginia Military Institute,Hochuli,7,2014
116,Mike Weatherford,SJ ,Oklahoma State,Steratore,13,2014
119,Greg Wilson,BJ ,USC,Corrente,7,2014
4,Craig Wrolstad,R ,Washington,Wrolstad,12,2014
38,Greg Yette,BJ ,Howard,Torbert,5,2014
33,Steve Zimmer,FJ,Hofstra,Wrolstad,18,2014
66,Walt Anderson,R,Texas,Anderson,18,2013
44,Jeff Rice,U,Northwestern,Anderson,19,2013
22,Steve Stelljes,HL,Friends,Anderson,12,2013
18,Byron Boston,LJ,Austin,Anderson,19,2013
82,Buddy Horton,FJ,Oregon State,Anderson,15,2013
72,Michael Banks,SJ,Illinois State,Anderson,12,2013
2,Billy Smith,BJ,,Anderson,#N/A,2013
34,Clete Blakeman,R,Nebraska,Blakeman,6,2013
53,Garth DeFelice,U,San Diego,Blakeman,#N/A,2013
36,Tony Veteri,HL,Manhattan,Blakeman,22,2013
107,Ron Marinucci,LJ,Glassboro State,Blakeman,17,2013
118,Dave Meslow,FJ,Augsburg,Blakeman,#N/A,2013
78,Greg Meyer,SJ,TCU,Blakeman,12,2013
111,Terrence Miles,BJ,Arizona State,Blakeman,6,2013
23,Jerome Boger,R,Morehouse,Boger,10,2013
115,Tony Michalek,U,Indiana,Boger,12,2013
134,Ed Camp,HL,William Paterson,Boger,13,2013
68,Tom Stephan,LJ,Pittsburg State,Boger,15,2013
109,Dyrol Prioleau,FJ,Johnson C. Smith,Boger,7,2013
56,Allen Baynes,SJ,Auburn,Boger,6,2013
112,Tony Steratore,BJ,California (PA),Boger,14,2013
94,Mike Carey,R,Santa Clara,Carey,#N/A,2013
31,Chad Brown,U,Texas A&M–Commerce,Carey,#N/A,2013
26,Mark Baltz,HL,Ohio,Carey,#N/A,2013
47,Tim Podraza,LJ,Nebraska,Carey,6,2013
50,Mike Weir,FJ,,Carey,#N/A,2013
67,Doug Rosenbaum,SJ,Illinois Wesleyan,Carey,13,2013
6,Kirk Dornan,BJ,Central Washington,Carey,#N/A,2013
51,Carl Cheffers,R,California-Irvine,Cheffers,14,2013
96,Undrey Wash,U,Texas-Arlington,Cheffers,14,2013
79,Kent Payne,HL,Nebraska Wesleyan,Cheffers,10,2013
100,Tom Symonette,LJ,Florida,Cheffers,10,2013
21,Jeff Lamberth,FJ,Texas A&M,Cheffers,12,2013
125,Laird Hayes,SJ,Princeton,Cheffers,19,2013
30,Todd Prukop,BJ,Cal State-Fullerton,Cheffers,5,2013
65,Walt Coleman,R,Arkansas,Coleman,25,2013
81,Roy Ellison,U,Savannah State,Coleman,11,2013
91,Jerry Bergman,HL,Robert Morris,Coleman,12,2013
59,Rusty Baynes,LJ,Auburn-Montgomery,Coleman,4,2013
80,Greg Gautreaux,FJ,Southwest Louisiana,Coleman,12,2013
15,Rick Patterson,SJ,Wofford,Coleman,18,2013
38,Greg Yette,BJ,Howard,Coleman,4,2013
99,Tony Corrente,R,Cal State-Fullerton,Corrente,19,2013
11,Fred Bryan,U,Northern Iowa,Corrente,5,2013
54,George Hayward,HL,Missouri Western University,Corrente,23,2013
130,Darryll Lewis,LJ,,Corrente,#N/A,2013
60,Gary Cavaletto,FJ,Hancock,Corrente,11,2013
62,Ron Torbert,SJ,Michigan State,Corrente,#N/A,2013
119,Greg Wilson,BJ,USC,Corrente,6,2013
19,Scott Green,R,University of Delaware,Green,#N/A,2013
102,Bruce Stritesky,U,Embry-Riddle,Green,8,2013
24,Tom Stabile,HL,Slippery Rock,Green,#N/A,2013
90,Michael Spanier,LJ,St. Cloud State,Green,#N/A,2013
41,Boris Cheek,FJ,Morgan State,Green,18,2013
128,Larry Rose,SJ,,Green,#N/A,2013
93,Scott Helverson,BJ,Iowa,Green,11,2013
85,Ed Hochuli,R,Texas-El Paso,Hochuli,24,2013
49,Rich Hall,U,Arizona,Hochuli,10,2013
28,Mark Hittner,HL,Pittsburg State,Hochuli,17,2013
35,John Hussey,LJ,Idaho State,Hochuli,12,2013
4,Craig Wrolstad,FJ,Washington,Hochuli,11,2013
7,Keith Washington,SJ,Virginia Military Institute,Hochuli,6,2013
126,Don Carey,BJ,University of California,Hochuli,#N/A,2013
127,Bill Leavy,R,San Jose State,Leavy,#N/A,2013
71,Ruben Fowler,U,Huston-Tillotson,Leavy,8,2013
5,John McGrath,HL,Kentucky,Leavy,12,2013
9,Mark Perlman,LJ,Salem,Leavy,13,2013
86,Jimmy Buchanan,FJ,South Carolina State,Leavy,5,2013
87,Keith Parham,SJ,,Leavy,#N/A,2013
61,Keith Ferguson,BJ,San Jose State,Leavy,14,2013
77,Terry McAulay,R,Louisiana State,McAulay,16,2013
70,Scott Dawson,U,Virginia Tech,McAulay,#N/A,2013
98,Greg Bradley,HL,Tennessee,McAulay,5,2013
84,Mark Steinkerchner,LJ,Akron,McAulay,20,2013
43,Terry Brown,FJ,Tennessee,McAulay,8,2013
95,James Coleman,SJ,Arkansas,McAulay,9,2013
27,Lee Dyer,BJ,Tennessee-Chattanooga,McAulay,11,2013
135,Pete Morelli,R,St. Mary's,Morelli,17,2013
76,Darrell Jenkins,U,,Morelli,#N/A,2013
8,Dana McKenzie,HL,Toledo,Morelli,6,2013
101,Carl Johnson,LJ,Nicholls State,Morelli,10,2013
89,Jon Lucivansky,FJ,Minnesota,Morelli,5,2013
75,Rob Vernatchi,SJ,California-Riverside,Morelli,10,2013
104,Dale Shaw,BJ,Allegheny,Morelli,1,2013
132,John Parry,R,Purdue,Parry,14,2013
64,Dan Ferrell,U,Cal State-Fullerton,Parry,11,2013
74,Derick Bowers,HL,East Central,Parry,11,2013
29,Adrian Hill,LJ,Buffalo,Parry,4,2013
3,Scott Edwards,FJ,Alabama,Parry,15,2013
73,Joe Larrew,SJ,St. Louis,Parry,12,2013
46,Perry Paganelli,BJ,Hope,Parry,16,2013
114,Gene Steratore,R,Kent State,Steratore,11,2013
129,Bill Schuster,U,Alfred,Steratore,14,2013
106,Wayne Mackie,HL,Colgate,Steratore,7,2013
45,Jeff Seeman,LJ,Minnesota,Steratore,12,2013
25,Bob Waggoner,FJ,Juniata,Steratore,17,2013
116,Mike Weatherford,SJ,Oklahoma State,Steratore,12,2013
105,Dino Paganelli,BJ,Aquinas,Steratore,8,2013
42,Jeff Triplette,R,Wake Forest,Triplette,18,2013
40,Butch Hannah,U,Middle Tennessee State,Triplette,15,2013
110,Phil McKinnely,HL,UCLA,Triplette,12,2013
32,Jeff Bergman,LJ,Robert Morris,Triplette,22,2013
20,Barry Anderson,FJ,North Carolina State,Triplette,7,2013
16,Dave Wyant,SJ,#N/A,Triplette,#N/A,2013
133,Steve Freeman,BJ,Mississippi State,Triplette,13,2013
52,Bill Vinovich,R,San Diego,Vinovich,9,2013
121,Paul King,U,Nichols College,Vinovich,5,2013
48,Jim Mello,HL,Northeastern,Vinovich,10,2013
10,Julian Mapp,LJ,Grambling State,Vinovich,5,2013
33,Steve Zimmer,FJ,Hofstra,Vinovich,17,2013
58,Jimmy DeBell,SJ,,Vinovich,#N/A,2013
63,Jim Quirk,BJ,Middlebury,Vinovich,4,2013
14,Ron Winter,R,#N/A,Winter,#N/A,2013
124,Carl Paganelli,U,Michigan State,Winter,14,2013
37,Jim Howey,HL,Erskine,Winter,15,2013
108,Gary Arthur,LJ,Wright State,Winter,17,2013
88,Scott Steenson,FJ,#N/A,Winter,#N/A,2013
97,Tom Hill,SJ,Carson-Newman,Winter,15,2013
12,Greg Steed,BJ,Howard,Winter,11,2013
66,Walt Anderson,R,Texas,Anderson,17,2012
40,Butch Hannah,U,Middle Tennessee State,Anderson,14,2012
22,Steve Stelljes,HL,Friends,Anderson,11,2012
18,Byron Boston,LJ,Austin,Anderson,18,2012
118,Dave Meslow,FJ,Augsburg,Anderson,#N/A,2012
72,Michael Banks,SJ,Illinois State,Anderson,11,2012
2,Billy Smith,BJ,,Anderson,#N/A,2012
34,Clete Blakeman,R,Nebraska,Blakeman,5,2012
53,Garth DeFelice,U,San Diego,Blakeman,#N/A,2012
36,Tony Veteri,HL,Manhattan,Blakeman,21,2012
107,Ron Marinucci,LJ,Glassboro State,Blakeman,16,2012
82,Buddy Horton,FJ,Oregon State,Blakeman,14,2012
78,Greg Meyer,SJ,TCU,Blakeman,11,2012
111,Terrence Miles,BJ,Arizona State,Boger,5,2012
23,Jerome Boger,R,Morehouse,Boger,9,2012
115,Tony Michalek,U,Indiana,Boger,11,2012
134,Ed Camp,HL,William Paterson,Boger,12,2012
68,Tom Stephan,LJ,Pittsburg State,Boger,14,2012
109,Dyrol Prioleau,FJ,Johnson C. Smith,Boger,6,2012
73,Joe Larrew,SJ,St. Louis,Boger,11,2012
112,Tony Steratore,BJ,California (PA),Boger,13,2012
94,Mike Carey,R,Santa Clara,Carey,#N/A,2012
31,Chad Brown,U,Texas A&M–Commerce,Carey,#N/A,2012
26,Mark Baltz,HL,Ohio,Carey,#N/A,2012
47,Tim Podraza,LJ,Nebraska,Carey,5,2012
50,Mike Weir,FJ,,Carey,#N/A,2012
67,Doug Rosenbaum,SJ,Illinois Wesleyan,Carey,12,2012
6,Kirk Dornan,BJ,Central Washington,Carey,#N/A,2012
51,Carl Cheffers,R,California-Irvine,Cheffers,13,2012
96,Undrey Wash,U,Texas-Arlington,Cheffers,13,2012
79,Kent Payne,HL,Nebraska Wesleyan,Cheffers,9,2012
100,Tom Symonette,LJ,Florida,Cheffers,9,2012
86,Jimmy Buchanan,FJ,South Carolina State,Cheffers,4,2012
125,Laird Hayes,SJ,Princeton,Cheffers,18,2012
30,Todd Prukop,BJ,Cal State-Fullerton,Cheffers,4,2012
65,Walt Coleman,R,Arkansas,Coleman,24,2012
81,Roy Ellison,U,Savannah State,Coleman,10,2012
91,Jerry Bergman,HL,Robert Morris,Coleman,11,2012
90,Michael Spanier,LJ,,Coleman,#N/A,2012
80,Greg Gautreaux,FJ,Southwest Louisiana,Coleman,11,2012
15,Rick Patterson,SJ,Wofford,Coleman,17,2012
38,Greg Yette,BJ,Howard,Coleman,3,2012
99,Tony Corrente,R,Cal State-Fullerton,Corrente,18,2012
11,Fred Bryan,U,Northern Iowa,Corrente,4,2012
5,John McGrath,HL,Kentucky,Corrente,11,2012
130,Darryll Lewis,LJ,,Corrente,#N/A,2012
60,Gary Cavaletto,FJ,Hancock,Corrente,10,2012
56,Allen Baynes,SJ,Auburn,Corrente,5,2012
119,Greg Wilson,BJ,USC,Corrente,5,2012
19,Scott Green,R,University of Delaware,Green,#N/A,2012
102,Bruce Stritesky,U,Embry-Riddle,Green,7,2012
24,Tom Stabile,HL,Slippery Rock,Green,#N/A,2012
55,Tom Barnes,LJ,University of Minnesota,Green,#N/A,2012
41,Boris Cheek,FJ,Morgan State,Green,17,2012
128,Larry Rose,SJ,,Green,#N/A,2012
93,Scott Helverson,BJ,Iowa,Green,10,2012
85,Ed Hochuli,R,Texas-El Paso,Hochuli,23,2012
49,Rich Hall,U,Arizona,Hochuli,9,2012
28,Mark Hittner,HL,Pittsburg State,Hochuli,16,2012
29,Adrian Hill,LJ,Buffalo,Hochuli,3,2012
4,Craig Wrolstad,FJ,Washington,Hochuli,10,2012
7,Keith Washington,SJ,Virginia Military Institute,Hochuli,5,2012
126,Don Carey,BJ,University of California,Hochuli,#N/A,2012
127,Bill Leavy,R,San Jose State,Leavy,#N/A,2012
71,Ruben Fowler,U,Huston-Tillotson,Leavy,7,2012
54,George Hayward,HL,Missouri Western University,Leavy,22,2012
9,Mark Perlman,LJ,Salem,Leavy,12,2012
63,Jim Quirk,BJ,Middlebury,Leavy,3,2012
87,Keith Parham,SJ,,Leavy,#N/A,2012
61,Keith Ferguson,BJ,San Jose State,Leavy,13,2012
77,Terry McAulay,R,Louisiana State,McAulay,15,2012
70,Scott Dawson,U,Virginia Tech,McAulay,#N/A,2012
98,Greg Bradley,HL,Tennessee,McAulay,4,2012
84,Mark Steinkerchner,LJ,Akron,McAulay,19,2012
43,Terry Brown,FJ,Tennessee,McAulay,7,2012
95,James Coleman,SJ,Arkansas,McAulay,8,2012
27,Lee Dyer,BJ,Tennessee-Chattanooga,McAulay,10,2012
135,Pete Morelli,R,St. Mary's,Morelli,16,2012
76,Darrell Jenkins,U,,Morelli,#N/A,2012
8,Dana McKenzie,HL,Toledo,Morelli,5,2012
35,John Hussey,LJ,Idaho State,Morelli,11,2012
89,Jon Lucivansky,FJ,Minnesota,Morelli,4,2012
39,Don Carlsen,,,Morelli,#N/A,2012
75,Rob Vernatchi,SJ,California-Riverside,Morelli,9,2012
132,John Parry,R,Purdue,Parry,13,2012
64,Dan Ferrell,U,Cal State-Fullerton,Parry,10,2012
74,Derick Bowers,HL,East Central,Parry,10,2012
59,Rusty Baynes,LJ,Auburn-Montgomery,Parry,3,2012
3,Scott Edwards,FJ,Alabama,Parry,14,2012
62,Ron Torbert,SJ,Michigan State,Parry,#N/A,2012
46,Perry Paganelli,BJ,Hope,Parry,15,2012
57,Al Riveron,R,,Riveron,#N/A,2012
121,Paul King,U,Nichols College,Riveron,4,2012
48,Jim Mello,HL,Northeastern,Riveron,9,2012
10,Julian Mapp,LJ,Grambling State,Riveron,4,2012
33,Steve Zimmer,FJ,Hofstra,Riveron,16,2012
58,Jimmy DeBell,SJ,,Riveron,#N/A,2012
83,Richard Reels,BJ,,Riveron,#N/A,2012
114,Gene Steratore,R,Kent State,Steratore,10,2012
129,Bill Schuster,U,Alfred,Steratore,13,2012
106,Wayne Mackie,HL,Colgate,Steratore,6,2012
45,Jeff Seeman,LJ,Minnesota,Steratore,11,2012
25,Bob Waggoner,FJ,Juniata,Steratore,16,2012
116,Mike Weatherford,SJ,Oklahoma State,Steratore,11,2012
105,Dino Paganelli,BJ,Aquinas,Steratore,7,2012
42,Jeff Triplette,R,Wake Forest,Triplette,17,2012
44,Jeff Rice,U,Northwestern,Triplette,18,2012
110,Phil McKinnely,HL,UCLA,Triplette,11,2012
32,Jeff Bergman,LJ,Robert Morris,Triplette,21,2012
20,Barry Anderson,FJ,North Carolina State,Triplette,6,2012
16,Dave Wyant,SJ,University of Virginia,Triplette,#N/A,2012
133,Steve Freeman,BJ,Mississippi State,Triplette,12,2012
14,Ron Winter,R,Michigan State,Winter,#N/A,2012
124,Carl Paganelli,U,Michigan State,Winter,13,2012
10,Ron Phares,,,Winter,#N/A,2012
108,Gary Arthur,LJ,Wright State,Winter,16,2012
88,Scott Steenson,FJ,,Winter,#N/A,2012
97,Tom Hill,SJ,Carson-Newman,Winter,14,2012
12,Greg Steed,BJ,Howard,Winter,10,2012
66,Walt Anderson,R,Texas,Anderson,16,2011
40,Butch Hannah,U,Middle Tennessee State,Anderson,13,2011
22,Steve Stelljes,HL,Friends,Anderson,10,2011
18,Byron Boston,LJ,Austin,Anderson,17,2011
118,Dave Meslow,FJ,Augsburg,Anderson,#N/A,2011
95,James Coleman,SJ,Arkansas,Anderson,7,2011
2,Billy Smith,BJ,,Anderson,#N/A,2011
34,Clete Blakeman,R,Nebraska,Blakeman,4,2011
53,Garth DeFelice,U,San Diego,Blakeman,#N/A,2011
36,Tony Veteri,HL,Manhattan,Blakeman,20,2011
45,Jeff Seeman,LJ,Minnesota,Blakeman,10,2011
82,Buddy Horton,FJ,Oregon State,Blakeman,13,2011
78,Greg Meyer,SJ,TCU,Blakeman,10,2011
111,Terrence Miles,BJ,Arizona State,Blakeman,4,2011
23,Jerome Boger,R,Morehouse,Boger,8,2011
124,Carl Paganelli,U,Michigan State,Boger,12,2011
91,Jerry Bergman,HL,Robert Morris,Boger,10,2011
68,Tom Stephan,LJ,Pittsburg State,Boger,13,2011
67,Doug Rosenbaum,SJ,Illinois Wesleyan,Boger,11,2011
73,Joe Larrew,SJ,St. Louis,Boger,10,2011
112,Tony Steratore,BJ,California (PA),Boger,12,2011
94,Mike Carey,R,Santa Clara,Carey,#N/A,2011
31,Chad Brown,U,Texas A&M–Commerce,Carey,#N/A,2011
8,Dana McKenzie,HL,Toledo,Carey,4,2011
47,Tim Podraza,LJ,Nebraska,Carey,4,2011
50,Mike Weir,FJ,,Carey,#N/A,2011
41,Boris Cheek,FJ,Morgan State,Carey,16,2011
6,Kirk Dornan,BJ,Central Washington,Carey,#N/A,2011
51,Carl Cheffers,R,California-Irvine,Cheffers,12,2011
96,Undrey Wash,U,Texas-Arlington,Cheffers,12,2011
79,Kent Payne,HL,Nebraska Wesleyan,Cheffers,8,2011
100,Tom Symonette,LJ,Florida,Cheffers,8,2011
86,Jimmy Buchanan,FJ,South Carolina State,Cheffers,3,2011
125,Laird Hayes,SJ,Princeton,Cheffers,17,2011
30,Todd Prukop,BJ,Cal State-Fullerton,Cheffers,3,2011
65,Walt Coleman,R,Arkansas,Coleman,23,2011
81,Roy Ellison,U,Savannah State,Coleman,9,2011
134,Ed Camp,HL,William Paterson,Coleman,11,2011
90,Michael Spanier,LJ,St. Cloud State,Coleman,#N/A,2011
80,Greg Gautreaux,FJ,Southwest Louisiana,Coleman,10,2011
15,Rick Patterson,SJ,Wofford,Coleman,16,2011
38,Greg Yette,BJ,Howard,Coleman,2,2011
99,Tony Corrente,R,Cal State-Fullerton,Corrente,17,2011
11,Fred Bryan,U,Northern Iowa,Corrente,3,2011
5,John McGrath,HL,Kentucky,Corrente,10,2011
130,Darryll Lewis,LJ,,Corrente,#N/A,2011
60,Gary Cavaletto,FJ,Hancock,Corrente,9,2011
56,Allen Baynes,SJ,Auburn,Corrente,4,2011
119,Greg Wilson,BJ,USC,Corrente,4,2011
19,Scott Green,R,University of Delaware,Green,#N/A,2011
102,Bruce Stritesky,U,Embry-Riddle,Green,6,2011
24,Tom Stabile,HL,Slippery Rock,Green,#N/A,2011
55,Tom Barnes,LJ,University of Minnesota,Green,#N/A,2011
109,Dyrol Prioleau,FJ,Johnson C. Smith,Green,5,2011
128,Larry Rose,SJ,,Green,#N/A,2011
93,Scott Helverson,BJ,Iowa,Green,9,2011
85,Ed Hochuli,R,Texas-El Paso,Hochuli,22,2011
49,Rich Hall,U,Arizona,Hochuli,8,2011
28,Mark Hittner,HL,Pittsburg State,Hochuli,15,2011
29,Adrian Hill,LJ,Buffalo,Hochuli,2,2011
4,Craig Wrolstad,FJ,Washington,Hochuli,9,2011
62,Ron Torbert,SJ,Michigan State,Hochuli,#N/A,2011
126,Don Carey,BJ,University of California,Hochuli,#N/A,2011
127,Bill Leavy,R,San Jose State,Leavy,#N/A,2011
76,Darrell Jenkins,U,,Leavy,#N/A,2011
54,George Hayward,HL,Missouri Western University,Leavy,21,2011
9,Mark Perlman,LJ,Salem,Leavy,11,2011
63,Jim Quirk,BJ,Middlebury,Leavy,2,2011
87,Keith Parham,SJ,,Leavy,#N/A,2011
61,Keith Ferguson,BJ,San Jose State,Leavy,12,2011
77,Terry McAulay,R,Louisiana State,McAulay,14,2011
121,Paul King,U,Nichols College,McAulay,3,2011
98,Greg Bradley,HL,Tennessee,McAulay,3,2011
84,Mark Steinkerchner,LJ,Akron,McAulay,18,2011
43,Terry Brown,FJ,Tennessee,McAulay,6,2011
72,Michael Banks,SJ,Illinois State,McAulay,10,2011
27,Lee Dyer,BJ,Tennessee-Chattanooga,McAulay,9,2011
135,Pete Morelli,R,St. Mary's,Morelli,15,2011
71,Ruben Fowler,U,Huston-Tillotson,Morelli,6,2011
26,Mark Baltz,HL,Ohio,Morelli,#N/A,2011
35,John Hussey,LJ,Idaho State,Morelli,10,2011
89,Jon Lucivansky,FJ,Minnesota,Morelli,3,2011
39,Don Carlsen,SJ,,Morelli,#N/A,2011
75,Rob Vernatchi,BJ,California-Riverside,Morelli,8,2011
132,John Parry,R,Purdue,Parry,12,2011
64,Dan Ferrell,U,Cal State-Fullerton,Parry,9,2011
74,Derick Bowers,HL,East Central,Parry,9,2011
59,Rusty Baynes,LJ,Auburn-Montgomery,Parry,2,2011
3,Scott Edwards,FJ,Alabama,Parry,13,2011
7,Keith Washington,SJ,Virginia Military Institute,Parry,4,2011
46,Perry Paganelli,BJ,Hope,Parry,14,2011
57,Al Riveron,R,,Riveron,#N/A,2011
70,Scott Dawson,U,Virginia Tech,Riveron,#N/A,2011
48,Jim Mello,HL,Northeastern,Riveron,8,2011
10,Ron Phares,LJ,,Riveron,#N/A,2011
33,Steve Zimmer,FJ,Hofstra,Riveron,15,2011
58,Jimmy DeBell,SJ,,Riveron,#N/A,2011
12,Greg Steed,BJ,Howard,Riveron,9,2011
114,Gene Steratore,R,Kent State,Steratore,9,2011
129,Bill Schuster,U,Alfred,Steratore,12,2011
106,Wayne Mackie,HL,Colgate,Steratore,5,2011
107,Ron Marinucci,LJ,Glassboro State,Steratore,15,2011
25,Bob Waggoner,FJ,Juniata,Steratore,15,2011
116,Mike Weatherford,SJ,Oklahoma State,Steratore,10,2011
105,Dino Paganelli,BJ,Aquinas,Steratore,6,2011
42,Jeff Triplette,R,Wake Forest,Triplette,16,2011
44,Jeff Rice,U,Northwestern,Triplette,17,2011
110,Phil McKinnely,HL,UCLA,Triplette,10,2011
32,Jeff Bergman,LJ,Robert Morris,Triplette,20,2011
20,Barry Anderson,FJ,North Carolina State,Triplette,5,2011
16,Dave Wyant,SJ,University of Virginia,Triplette,#N/A,2011
133,Steve Freeman,BJ,Mississippi State,Triplette,11,2011
14,Ron Winter,R,Michigan State,Winter,#N/A,2011
115,Tony Michalek,U,Indiana,Winter,10,2011
52,Julian Mapp,HL,Grambling State,Winter,3,2011
108,Gary Arthur,LJ,Wright State,Winter,15,2011
88,Scott Steenson,FJ,,Winter,#N/A,2011
97,Tom Hill,SJ,Carson-Newman,Winter,13,2011
83,Richard Reels,BJ,,Winter,#N/A,2011
